"('[DB320005] 포괄손익계산서, 은행 - 별도 | Statement of Comprehensive Income, Deposit Based - Separate financial statements (Unit: KRW)', 'concept_id')","('[DB320005] 포괄손익계산서, 은행 - 별도 | Statement of Comprehensive Income, Deposit Based - Separate financial statements (Unit: KRW)', 'label_ko')","('[DB320005] 포괄손익계산서, 은행 - 별도 | Statement of Comprehensive Income, Deposit Based - Separate financial statements (Unit: KRW)', 'label_en')","('[DB320005] 포괄손익계산서, 은행 - 별도 | Statement of Comprehensive Income, Deposit Based - Separate financial statements (Unit: KRW)', 'class0')","('[DB320005] 포괄손익계산서, 은행 - 별도 | Statement of Comprehensive Income, Deposit Based - Separate financial statements (Unit: KRW)', 'class1')","('[DB320005] 포괄손익계산서, 은행 - 별도 | Statement of Comprehensive Income, Deposit Based - Separate financial statements (Unit: KRW)', 'class2')","('[DB320005] 포괄손익계산서, 은행 - 별도 | Statement of Comprehensive Income, Deposit Based - Separate financial statements (Unit: KRW)', 'class3')","('20240101-20241231', ('별도재무제표',))","('20230101-20231231', ('별도재무제표',))","('20220101-20221231', ('별도재무제표',))"
ifrs-full_Revenue,I. 영업수익,I. Operating income,ifrs-full:StatementOfComprehensiveIncomeAbstract,I. 영업수익,,,2945621000000.0,2494045000000.0,1605801000000.0
ifrs-full_RevenueFromInterest,1. 이자수익,1. Interest income,ifrs-full:StatementOfComprehensiveIncomeAbstract,1. 이자수익,,,2399865000000.0,2048170000000.0,1293874000000.0
ifrs-full_FeeAndCommissionIncome,2. 수수료수익,2. Fee and commission income,ifrs-full:StatementOfComprehensiveIncomeAbstract,2. 수수료수익,,,301780000000.0,267797000000.0,253761000000.0
dart_GainFromFinancialInstrumentsAtFairValueThroughProfitOrLoss,3. 당기손익-공정가치측정금융상품관련이익,3. Gain from financial instruments at fair value through profit or loss,ifrs-full:StatementOfComprehensiveIncomeAbstract,3. 당기손익-공정가치측정금융상품관련이익,,,180838000000.0,148199000000.0,36166000000.0
dart_GainFromFinancialInstrumentsAtFairValueThroughOtherComprehensiveIncome,4. 기타포괄손익-공정가치측정금융자산관련이익,4. Gain from financial assets at fair value through other comprehensive income,ifrs-full:StatementOfComprehensiveIncomeAbstract,4. 기타포괄손익-공정가치측정금융자산관련이익,,,6468000000.0,0.0,0.0
dart_OtherOperatingIncome,5. 기타의영업수익,5. Other operating income,ifrs-full:StatementOfComprehensiveIncomeAbstract,5. 기타의영업수익,,,56670000000.0,29879000000.0,22000000000.0
ifrs-full_OperatingExpense,II. 영업비용,II. Operating expenses,ifrs-full:StatementOfComprehensiveIncomeAbstract,II. 영업비용,,,2068211000000.0,1767212000000.0,1079393000000.0
ifrs-full_InterestExpense,1. 이자비용,1. Interest expenses,ifrs-full:StatementOfComprehensiveIncomeAbstract,1. 이자비용,,,1130465000000.0,932200000000.0,351693000000.0
ifrs-full_FeeAndCommissionExpense,2. 수수료비용,2. Fee and commission expenses,ifrs-full:StatementOfComprehensiveIncomeAbstract,2. 수수료비용,,,279125000000.0,269827000000.0,243284000000.0
dart_LossFromFinancialInstrumentsAtFairValueThroughProfitOrLoss,3. 당기손익-공정가치측정금융상품관련손실,3. Loss from financial instruments at fair value through profit or loss,ifrs-full:StatementOfComprehensiveIncomeAbstract,3. 당기손익-공정가치측정금융상품관련손실,,,5241000000.0,3027000000.0,0.0
dart_LossFromFinancialInstrumentsAtFairValueThroughOtherComprehensiveIncome,4. 기타포괄손익-공정가치측정금융자산관련손실,4. Loss from financial assets at fair value through other comprehensive income,ifrs-full:StatementOfComprehensiveIncomeAbstract,4. 기타포괄손익-공정가치측정금융자산관련손실,,,8000000.0,0.0,0.0
ifrs-full_SellingGeneralAndAdministrativeExpense,5. 판매비와관리비,5. Selling and administrative expenses,ifrs-full:StatementOfComprehensiveIncomeAbstract,5. 판매비와관리비,,,493239000000.0,435542000000.0,393546000000.0
dart_OtherOperatingExpense,6. 기타의영업비용,6. Other operating expenses,ifrs-full:StatementOfComprehensiveIncomeAbstract,6. 기타의영업비용,,,160133000000.0,126616000000.0,90870000000.0
ifrs-full_AdditionalAllowanceRecognisedInProfitOrLossAllowanceAccountForCreditLossesOfFinancialAssets,Ⅲ. 금융자산신용손실충당금전입액,III. Provision for credit losses on financial assets,ifrs-full:StatementOfComprehensiveIncomeAbstract,Ⅲ. 금융자산신용손실충당금전입액,,,270530000000.0,248348000000.0,173222000000.0
ifrs-full_ProfitLossFromOperatingActivities,IV. 영업이익,IV. Operating profit,ifrs-full:StatementOfComprehensiveIncomeAbstract,IV. 영업이익,,,606880000000.0,478485000000.0,353186000000.0
dart_NonOperatingIncome,V. 영업외수익,V. Non-operating income,ifrs-full:StatementOfComprehensiveIncomeAbstract,V. 영업외수익,,,4373000000.0,1187000000.0,3967000000.0
dart_NonOperatingExpense,VI. 영업외비용,VI. Non-operating expenses,ifrs-full:StatementOfComprehensiveIncomeAbstract,VI. 영업외비용,,,22343000000.0,10465000000.0,5420000000.0
ifrs-full_ProfitLossBeforeTax,VII. 법인세비용차감전순이익,VII. Profit before income tax,ifrs-full:StatementOfComprehensiveIncomeAbstract,VII. 법인세비용차감전순이익,,,588910000000.0,469207000000.0,351733000000.0
ifrs-full_IncomeTaxExpenseContinuingOperations,VIII. 법인세비용,VIII. Income tax expense,ifrs-full:StatementOfComprehensiveIncomeAbstract,VIII. 법인세비용,,,148845000000.0,114295000000.0,88642000000.0
ifrs-full_ProfitLoss,IX. 당기순이익,IX. Profit for the year,ifrs-full:StatementOfComprehensiveIncomeAbstract,IX. 당기순이익,,,440065000000.0,354912000000.0,263091000000.0
dart_AdjustedProfitLossNetOfRegulatoryReserveForCreditLoss,대손준비금 반영후 조정이익,Adjusted profit after provision of regulatory reserve for credit losses,ifrs-full:StatementOfComprehensiveIncomeAbstract,대손준비금 반영후 조정이익,,,432593000000.0,324535000000.0,324463000000.0
ifrs-full_OtherComprehensiveIncome,X. 기타포괄손익,X. Other comprehensive income (loss),ifrs-full:StatementOfComprehensiveIncomeAbstract,X. 기타포괄손익,,,53452000000.0,92278000000.0,-74267000000.0
ifrs-full_ComprehensiveIncome,XI. 총포괄이익,XI. Total comprehensive income for the year,ifrs-full:StatementOfComprehensiveIncomeAbstract,XI. 총포괄이익,,,493517000000.0,447190000000.0,188824000000.0
ifrs-full_BasicEarningsLossPerShare,1. 기본주당이익,1. Basic earnings per share,ifrs-full:StatementOfComprehensiveIncomeAbstract,XII. 주당이익,1. 기본주당이익,,924.0,745.0,553.0
ifrs-full_DilutedEarningsLossPerShare,2. 희석주당이익,2. Diluted earnings per share,ifrs-full:StatementOfComprehensiveIncomeAbstract,XII. 주당이익,2. 희석주당이익,,923.0,744.0,551.0
