"('[D431410] 단일 포괄손익계산서, 기능별 분류, 세후 - 연결 | Statement of comprehensive income, by function of expense - Consolidated financial statements (Unit: KRW)', 'concept_id')","('[D431410] 단일 포괄손익계산서, 기능별 분류, 세후 - 연결 | Statement of comprehensive income, by function of expense - Consolidated financial statements (Unit: KRW)', 'label_ko')","('[D431410] 단일 포괄손익계산서, 기능별 분류, 세후 - 연결 | Statement of comprehensive income, by function of expense - Consolidated financial statements (Unit: KRW)', 'label_en')","('[D431410] 단일 포괄손익계산서, 기능별 분류, 세후 - 연결 | Statement of comprehensive income, by function of expense - Consolidated financial statements (Unit: KRW)', 'class0')","('[D431410] 단일 포괄손익계산서, 기능별 분류, 세후 - 연결 | Statement of comprehensive income, by function of expense - Consolidated financial statements (Unit: KRW)', 'class1')","('[D431410] 단일 포괄손익계산서, 기능별 분류, 세후 - 연결 | Statement of comprehensive income, by function of expense - Consolidated financial statements (Unit: KRW)', 'class2')","('[D431410] 단일 포괄손익계산서, 기능별 분류, 세후 - 연결 | Statement of comprehensive income, by function of expense - Consolidated financial statements (Unit: KRW)', 'class3')","('20240101-20241231', ('별도재무제표',))","('20240101-20241231', ('연결재무제표',))","('20230101-20231231', ('별도재무제표',))","('20230101-20231231', ('연결재무제표',))","('20220101-20221231', ('연결재무제표',))","('20220101-20221231', ('별도재무제표',))"
ifrs-full_Revenue,매출,Revenue,ifrs-full:StatementOfComprehensiveIncomeAbstract,매출,,,7935101827678.0,11240121484118.0,4978992849820.0,7889686804711.0,7060393209984.0,1956745411297.0
ifrs-full_CostOfSales,매출원가,Cost of sales,ifrs-full:StatementOfComprehensiveIncomeAbstract,매출원가,,,5675895992033.0,8370268279539.0,4011996987052.0,6461534940699.0,5548604179441.0,1658514554022.0
ifrs-full_GrossProfit,매출총이익,Gross profit,ifrs-full:StatementOfComprehensiveIncomeAbstract,매출총이익,,,2259205835645.0,2869853204579.0,966995862768.0,1428151864012.0,1511789030543.0,298230857275.0
dart_TotalSellingGeneralAdministrativeExpenses,판매비와관리비,Selling general administrative expenses,ifrs-full:StatementOfComprehensiveIncomeAbstract,판매비와관리비,,,664667351125.0,1036021042102.0,355693057465.0,734845022544.0,907681546844.0,128859361077.0
ifrs-full_ResearchAndDevelopmentExpense,연구와 개발 비용,Research and development expense,ifrs-full:StatementOfComprehensiveIncomeAbstract,연구와 개발 비용,,,94838069745.0,101953337135.0,92204597642.0,99000737552.0,203762060475.0,22117337019.0
dart_OperatingIncomeLoss,영업이익(손실),Operating income(loss),ifrs-full:StatementOfComprehensiveIncomeAbstract,영업이익(손실),,,1499700414775.0,1731878825342.0,519098207661.0,594306103916.0,400345423224.0,147254159179.0
dart_OtherGains,기타수익,OtherGains,ifrs-full:StatementOfComprehensiveIncomeAbstract,기타수익,,,333198259488.0,1489464089069.0,116326441005.0,107531271097.0,209815197662.0,435951231999.0
dart_OtherLosses,기타비용,Other losses,ifrs-full:StatementOfComprehensiveIncomeAbstract,기타비용,,,480447333927.0,557940476621.0,271907940692.0,350578179291.0,242757943363.0,171078260932.0
ifrs-full_FinanceIncome,금융수익,Finance income,ifrs-full:StatementOfComprehensiveIncomeAbstract,금융수익,,,255040495210.0,373540183704.0,764306323644.0,1131198523451.0,114766317537.0,43507313157.0
ifrs-full_FinanceCosts,금융비용,Finance expenses,ifrs-full:StatementOfComprehensiveIncomeAbstract,금융비용,,,390403958336.0,494883629643.0,288289623245.0,367491314086.0,265745658029.0,117384162537.0
ifrs-full_AdjustmentsForUndistributedProfitsOfInvestmentsAccountedForUsingEquityMethod,지분법손익,Adjustments for undistributed profits of investments accounted for using equity method,ifrs-full:StatementOfComprehensiveIncomeAbstract,지분법손익,,,,105343759928.0,,15789837725.0,-21028026245.0,
ifrs-full_ProfitLossBeforeTax,법인세비용차감전순이익(손실),Profit (loss) before tax,ifrs-full:StatementOfComprehensiveIncomeAbstract,법인세비용차감전순이익(손실),,,1217087877210.0,2647402751779.0,839533408373.0,1130756242812.0,195395310786.0,338250280866.0
ifrs-full_IncomeTaxExpenseContinuingOperations,법인세비용(수익),Tax expense (income),ifrs-full:StatementOfComprehensiveIncomeAbstract,법인세비용(수익),,,179047597000.0,136136191571.0,190573682000.0,232021520937.0,74731602667.0,31549872897.0
ifrs-full_ProfitLossFromContinuingOperations,계속영업이익(손실),Profit (loss) from continuing operations,ifrs-full:StatementOfComprehensiveIncomeAbstract,계속영업이익(손실),,,,2511266560208.0,,898734721875.0,120663708119.0,
ifrs-full_ProfitLossFromDiscontinuedOperations,중단영업이익(손실),Profit (loss) from discontinued operations,ifrs-full:StatementOfComprehensiveIncomeAbstract,중단영업이익(손실),,,,28606900330.0,,78183623918.0,25890311081.0,
ifrs-full_ProfitLoss,당기순이익(손실),Profit (loss),ifrs-full:StatementOfComprehensiveIncomeAbstract,당기순이익(손실),,,1038040280457.0,2539873460538.0,648959726032.0,976918345793.0,146554019200.0,306700407969.0
ifrs-full_OtherComprehensiveIncome,기타포괄손익,Other comprehensive income,ifrs-full:StatementOfComprehensiveIncomeAbstract,기타포괄손익,,,-23511246571.0,58011065699.0,35185324506.0,-157661023420.0,-43152059733.0,17990055481.0
ifrs-full_OtherComprehensiveIncomeThatWillNotBeReclassifiedToProfitOrLossNetOfTax,당기손익으로 재분류되지 않는항목(세후기타포괄손익),"Other comprehensive income that will not be reclassified to profit or loss, net of tax",ifrs-full:StatementOfComprehensiveIncomeAbstract,기타포괄손익,당기손익으로 재분류되지 않는항목(세후기타포괄손익),,,,,,,
ifrs-full_OtherComprehensiveIncomeThatWillBeReclassifiedToProfitOrLossNetOfTax,당기손익으로 재분류될 수 있는 항목(세후기타포괄손익),"Other comprehensive income that will be reclassified to profit or loss, net of tax",ifrs-full:StatementOfComprehensiveIncomeAbstract,기타포괄손익,당기손익으로 재분류될 수 있는 항목(세후기타포괄손익),,,,,,,
ifrs-full_ComprehensiveIncome,총포괄손익 합계,Comprehensive income,ifrs-full:StatementOfComprehensiveIncomeAbstract,총포괄손익 합계,,,1014529033886.0,2597884526237.0,684145050538.0,819257322373.0,103401959467.0,324690463450.0
entity00126566_AttributionOfNetIncomeFromContinuingOperationsOfStatementOfComprehensiveIncomeAbstract,계속사업 당기순이익의 귀속,Attribution of Net Income from Continuing Operations,ifrs-full:StatementOfComprehensiveIncomeAbstract,계속사업 당기순이익의 귀속,,,,,,,,
ifrs-full_IncomeFromContinuingOperationsAttributableToOwnersOfParent,지배기업의 소유주에게 귀속될 계속영업손익,Income from continuing operations attributable to owners of parent,ifrs-full:StatementOfComprehensiveIncomeAbstract,계속사업 당기순이익의 귀속,지배기업의 소유주에게 귀속될 계속영업손익,,,-2260506866573.0,,-739326119146.0,-169444175816.0,
ifrs-full_ProfitLossFromContinuingOperationsAttributableToNoncontrollingInterests,비지배지분에 귀속될 계속영업이익(손실),Profit (loss) from continuing operations attributable to non-controlling interests,ifrs-full:StatementOfComprehensiveIncomeAbstract,계속사업 당기순이익의 귀속,비지배지분에 귀속될 계속영업이익(손실),,,-250759693635.0,,-159408602729.0,48780467697.0,
entity00126566_AttributionOfNetIncomeFromeDiscontinedOperationsOfStatementOfComprehensiveIncomeAbstract,중단사업 당기순이익의 귀속,Attribution of Net Income frome Discontined Operations,ifrs-full:StatementOfComprehensiveIncomeAbstract,중단사업 당기순이익의 귀속,,,,,,,,
ifrs-full_IncomeFromDiscontinuedOperationsAttributableToOwnersOfParent,지배기업의 소유주에게 귀속될 중단영업손익,Income from discontinued operations attributable to owners of parent,ifrs-full:StatementOfComprehensiveIncomeAbstract,중단사업 당기순이익의 귀속,지배기업의 소유주에게 귀속될 중단영업손익,,,-38438404051.0,,-78183623918.0,-25909411773.0,
ifrs-full_ProfitLossFromDiscontinuedOperationsAttributableToNoncontrollingInterests,비지배지분에 귀속될 중단영업이익(손실),Profit (loss) from discontinued operations attributable to non-controlling interests,ifrs-full:StatementOfComprehensiveIncomeAbstract,중단사업 당기순이익의 귀속,비지배지분에 귀속될 중단영업이익(손실),,,9831503721.0,,,19100692.0,
ifrs-full_ProfitLossAttributableToOwnersOfParent,지배기업의 소유주에게 귀속되는 당기순이익(손실),"Profit (loss), attributable to owners of parent",ifrs-full:StatementOfComprehensiveIncomeAbstract,당기순이익(손실)의 귀속 [개요],지배기업의 소유주에게 귀속되는 당기순이익(손실),,,2298945270624.0,,817509743064.0,195353587589.0,
ifrs-full_ProfitLossAttributableToNoncontrollingInterests,비지배지분에 귀속되는 당기순이익(손실),"Profit (loss), attributable to non-controlling interests",ifrs-full:StatementOfComprehensiveIncomeAbstract,당기순이익(손실)의 귀속 [개요],비지배지분에 귀속되는 당기순이익(손실),,,240928189914.0,,159408602729.0,-48799568389.0,
ifrs-full_ComprehensiveIncomeAttributableToOwnersOfParent,"포괄손익, 지배기업의 소유주에게 귀속되는 지분","Comprehensive income, attributable to owners of parent",ifrs-full:StatementOfComprehensiveIncomeAbstract,포괄손익의 귀속 [개요],"포괄손익, 지배기업의 소유주에게 귀속되는 지분",,,2375667201321.0,,749929920512.0,212228528096.0,
ifrs-full_ComprehensiveIncomeAttributableToNoncontrollingInterests,"포괄손익, 비지배지분","Comprehensive income, attributable to non-controlling interests",ifrs-full:StatementOfComprehensiveIncomeAbstract,포괄손익의 귀속 [개요],"포괄손익, 비지배지분",,,222217324916.0,,69327401861.0,-108826568629.0,
ifrs-full_BasicEarningsLossPerShareFromContinuingOperations,계속영업기본주당이익(손실),Basic earnings (loss) per share from continuing operations,ifrs-full:StatementOfComprehensiveIncomeAbstract,주당이익 [개요],계속영업기본주당이익(손실),,,45935.0,,14563.0,3344.0,
ifrs-full_DilutedEarningsLossPerShareFromContinuingOperations,계속영업희석주당이익(손실),Diluted earnings (loss) per share from continuing operations,ifrs-full:StatementOfComprehensiveIncomeAbstract,주당이익 [개요],계속영업희석주당이익(손실),,,45935.0,,14563.0,3344.0,
ifrs-full_BasicEarningsLossPerShareFromDiscontinuedOperations,중단영업기본주당이익(손실),Basic earnings (loss) per share from discontinued operations,ifrs-full:StatementOfComprehensiveIncomeAbstract,주당이익 [개요],중단영업기본주당이익(손실),,,781.0,,1540.0,511.0,
ifrs-full_DilutedEarningsLossPerShareFromDiscontinuedOperations,중단영업희석주당이익(손실),Diluted earnings (loss) per share from discontinued operations,ifrs-full:StatementOfComprehensiveIncomeAbstract,주당이익 [개요],중단영업희석주당이익(손실),,,781.0,,1540.0,511.0,
